nohup: ignoring input
2025-07-04 07:44:27,326 INFO     Starting server at tcp:port=8000:interface=127.0.0.1
2025-07-04 07:44:27,326 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2025-07-04 07:44:27,326 INFO     Configuring endpoint tcp:port=8000:interface=127.0.0.1
2025-07-04 07:44:27,327 INFO     Listening on TCP address 127.0.0.1:8000
127.0.0.1:34166 - - [04/Jul/2025:07:44:34] "GET /api/bingo/api/start-game/10/" 200 81
127.0.0.1:34172 - - [04/Jul/2025:07:44:34] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:34184 - - [04/Jul/2025:07:44:35] "GET /api/bingo/api/get-game-stats/484/" 200 183
127.0.0.1:34190 - - [04/Jul/2025:07:44:35] "GET /api/bingo/api/get-game-data/" 200 26
127.0.0.1:34200 - - [04/Jul/2025:07:44:35] "WSCONNECTING /ws/game-socket/484/" - -
127.0.0.1:34200 - - [04/Jul/2025:07:44:35] "WSCONNECT /ws/game-socket/484/" - -
127.0.0.1:34206 - - [04/Jul/2025:07:44:35] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:34216 - - [04/Jul/2025:07:44:35] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:34240 - - [04/Jul/2025:07:44:35] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:34230 - - [04/Jul/2025:07:44:35] "GET /api/bingo/api/start-game/10/" 200 83
127.0.0.1:34244 - - [04/Jul/2025:07:44:35] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:34242 - - [04/Jul/2025:07:44:35] "GET /api/bingo/api/start-game/10/" 200 83
127.0.0.1:34260 - - [04/Jul/2025:07:44:35] "GET /api/bingo/api/start-game/10/" 200 83
127.0.0.1:34270 - - [04/Jul/2025:07:44:36] "GET /api/bingo/api/start-game/10/" 200 83
127.0.0.1:34306 - - [04/Jul/2025:07:44:36] "POST /api/auth/verify-init-data/" 200 605
127.0.0.1:34282 - - [04/Jul/2025:07:44:36] "GET /api/bingo/api/start-game/10/" 200 83
127.0.0.1:34286 - - [04/Jul/2025:07:44:36] "POST /api/auth/verify-init-data/" 200 605
